date,iso,avg_rating,total_ratings,new_avg_rating,new_ratings,name,store,code
2025-05-12,BR,4.92,585612.0,4.92,21477.0,ChatGPT,apple,ChatGPT_apple
2025-05-19,BR,4.92,607151.0,4.93,21539.0,ChatGPT,apple,ChatGPT_apple
2025-05-26,BR,4.92,627535.0,4.93,20384.0,ChatGPT,apple,ChatGPT_apple
2025-06-02,BR,4.92,651339.0,4.93,23804.0,ChatGPT,apple,ChatGPT_apple
2025-06-09,BR,4.92,672376.0,4.85,21037.0,ChatGPT,apple,ChatGPT_apple
2025-06-16,BR,4.92,692694.0,4.92,20318.0,ChatGPT,apple,ChatGPT_apple
2025-06-23,BR,4.92,718095.0,4.92,25401.0,ChatGPT,apple,ChatGPT_apple
2025-06-30,BR,4.92,742582.0,4.91,24487.0,ChatGPT,apple,ChatGPT_apple
2025-07-07,BR,4.92,763559.0,4.91,20977.0,ChatGPT,apple,ChatGPT_apple
2025-07-14,BR,4.92,785738.0,4.91,22179.0,ChatGPT,apple,ChatGPT_apple
2025-07-21,BR,4.92,812389.0,4.93,26651.0,ChatGPT,apple,ChatGPT_apple
2025-07-28,BR,4.92,833913.0,4.92,21524.0,ChatGPT,apple,ChatGPT_apple
2025-08-04,BR,4.92,853843.0,4.91,19930.0,ChatGPT,apple,ChatGPT_apple
2025-08-11,BR,4.92,873795.0,4.9,19952.0,ChatGPT,apple,ChatGPT_apple
